Run,BioSample,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,lat_lon
SRR23034579,SAMN32638606,SRX18989093,India,Asia,India:Tamilnadu,,13.08 N 80.18 E
SRR23047205,SAMN32638716,SRX19000740,India,Asia,India:Tamilnadu,,13.08 N 80.18 E
ERR4919986,SAMEA7472339,SAMEA7472339,India,Asia,India,,22.0 N 88.0 E
ERR4919987,SAMEA7472343,SAMEA7472343,India,Asia,India,,22.0 N 88.0 E
ERR4919988,SAMEA7472346,SAMEA7472346,India,Asia,India,,22.0 N 88.0 E
SRR6207757,SAMN07785154,SRX3317035,India,Asia,"India:Assam\,Guwahati",,26.14 N 91.73 E
SRR11348773,SAMN14299427,SRX7950697,India,Asia,India: Vellore,,12.91 N 79.13 E
SRR11348774,SAMN14299426,SRX7950696,India,Asia,India: Vellore,,12.91 N 79.13 E
SRR11348775,SAMN14299425,SRX7950695,India,Asia,India: Vellore,,12.91 N 79.13 E
SRR11348776,SAMN14299424,SRX7950694,India,Asia,India: Vellore,,12.91 N 79.13 E
SRR11348781,SAMN14299428,SRX7950689,India,Asia,India: Vellore,,12.91 N 79.13 E
